League_Short,Sport,Season,WIM,WIM_Z,Noll_Scully,NS_Z,Divergence,Teams
Euroleague,Basketball,2018,0.0566915214273671,-0.339368036750792,2.123892314881361,2.672569667031266,3.011937703782058,16
MLB,Baseball*,2020,0.1766737368690627,1.488129455290189,1.4235063647101729,-1.356993464796633,2.8451229200868218,30
Euroleague,Basketball,2023,0.0385730791420591,-1.5744189290492625,1.850631406117164,0.9935786806456302,2.567997609694893,18
Euroleague,Basketball,2008,0.0850534718491378,1.5939357000796586,1.5323970723146882,-0.9617415311958044,2.555677231275463,24
Euroleague,Basketball,2010,0.0712880078657128,0.6556073212974842,1.3820844774393153,-1.8853038990343929,2.540911220331877,24
NFL,American Football,2020,0.2153848619835813,-0.6506073721596437,1.7206665450850724,1.5220963188304917,2.1727036909901356,32
NFL,American Football,2016,0.1776249020295966,-1.8804244577319864,1.575880210390371,0.2301867824772971,2.1106112402092836,32
Eredivisie,Football,2009,0.3281454278415626,-1.4249581836062053,2.019512657189605,0.6503697355291922,2.0753279191353977,18
NFL,American Football,2022,0.1643609623664879,-2.312422257506412,1.5111705375077826,-0.3472091690646072,1.9652130884418049,32
Eredivisie,Football,2019,0.4710784512269987,1.1929557763305818,1.6999079957743153,-0.5870005013615253,1.779956277692107,18
NFL,American Football,2024,0.2418345156210126,0.210840468103519,1.7698454568623982,1.9609133193890729,1.750072851285554,32
MLS,Football,2009,0.246341032072418,0.1752936546144548,0.819756061276768,-1.5289354662761654,1.7042291208906202,15
NFL,American Football,2021,0.2425904967089102,0.2354622754200277,1.3878907769790565,-1.4472183557204523,1.68268063114048,32
Euroleague,Basketball,2000,0.0860562086628356,1.6622876575491017,1.6887180958464612,-0.001261707428158,1.6635493649772597,24
Prem League,Football,2024,0.3862962396016652,-0.4957269253872508,2.1906499876568715,1.167141285549752,1.662868210937003,20
Bundesliga,Football,2017,0.3150345278977048,-1.746374572154544,1.733936546622286,-0.0860164266563318,1.6603581454982121,18
Ligue 1,Football,2014,0.3555773050589227,0.5665903143128782,1.354427437779716,-1.077438637322209,1.6440289516350872,20
Euroleague,Basketball,2019,0.0505098808293984,-0.7607420498236783,1.8300837000548225,0.8673278626065859,1.6280699124302642,18
NFL,American Football,2009,0.2950815127481325,1.945060178668735,1.58607219255619,0.3211285069302821,1.6239316717384529,32
EFL Championship,Football,2016,0.2381976733816526,-0.5581055605996162,1.697540135630759,1.032811585178184,1.5909171457778002,24
NRL,Rugby League,2005,0.2024848715331391,-0.1896735434632059,1.0484556544075951,-1.777650334878041,1.587976791414835,15
Ligue 1,Football,2011,0.2574851165002139,-1.4231214561705408,1.6524304269134829,0.1156015740841484,1.538723030254689,20
MLS,Football,2017,0.2716913074703014,0.7095546076829448,0.9751406913936408,-0.8274241863798827,1.5369787940628274,22
Euroleague,Basketball,2024,0.0395008465714506,-1.5111772897586364,1.688097509806344,-0.0050747605733944,1.506102529185242,18
NRL,Rugby League,2016,0.1792915446387976,-0.6802735813887885,1.7572394899386934,0.7833279586392009,1.4636015400279894,16
Bundesliga,Football,2009,0.3865422137962251,0.0201253094413718,1.4213845572362698,-1.4324837900244367,1.4526090994658085,18
MLS,Football,2010,0.3070745425442455,1.4552617290671233,1.1609981337912076,0.011661971604344,1.4435997574627792,16
Bundesliga,Football,2013,0.3885134064470801,0.0688209362202861,2.102666288131509,1.5024635053403468,1.4336425691200607,18
Bundesliga,Football,2015,0.3517259362027948,-0.8399633575822915,1.889081112864239,0.582343085177372,1.4223064427596634,18
Euroleague,Basketball,2016,0.0402204245123292,-1.4621269705332869,1.679684025769558,-0.0567695453333063,1.4053574251999805,16
MLB,Baseball*,2019,0.1560072900960373,0.7566657115330014,2.456362640394295,2.139892868923129,1.3832271573901278,30
