League,Sport,Seasons,WIM_Mean,WIM_SD,WIM_Min,WIM_Max,NS_Mean,NS_SD,r_WIM_NS,p_WIM_NS,Mean_Div
Prem League,Football,25,0.41611577080733403,0.06015314012321283,0.3091814336390573,0.521779741869807,1.9323753421922825,0.22128824390179597,0.7442269884158865,1.9967897588017805e-05,0.5593435570193386
Eredivisie,Football,19,0.4059453802072898,0.05459805997172169,0.3281454278415626,0.5098135453434433,1.8515263965527926,0.2582934774788162,0.629650938977232,0.003865478986644166,0.6252459727590297
Bundesliga,Football,19,0.3857275438824948,0.040479870190490916,0.2904566511787659,0.4584953737720931,1.7539033174499592,0.2321274157022171,0.5287984319459214,0.01992178824058888,0.8140435973674308
La Liga,Football,19,0.3829738909355719,0.06273304722015144,0.2806856318823963,0.5469072260467345,1.9196977362285157,0.25938190235066205,0.7994087562415938,4.014868182589267e-05,0.5232912104600033
A-League,Football,11,0.34107691010004226,0.050591826425123915,0.275149615059654,0.4118351315190535,1.4263320550902294,0.2807556464361062,0.88159518288796,0.00033287038186640897,0.40462517473823084
Ligue 1,Football,19,0.3276445739108259,0.04929969758126144,0.2490330489087474,0.4098992334710367,1.6235549419999982,0.2497845305502994,0.7790307807202875,8.478912045934579e-05,0.4687072833208965
EFL Championship,Football,19,0.2611618799400118,0.04114670804155217,0.180999999424722,0.3239671270117695,1.4364848761683444,0.2527617459068068,0.7441944052002105,0.00025853088417532967,0.5774422411142472
MLS,Football,20,0.23802348164232287,0.047449238527139004,0.1497341289293352,0.3116382697714995,1.1584150090488052,0.22149983124982112,0.60427595881085,0.004773792665239071,0.7020531063593455
NFL,American Football,20,0.23536092883671195,0.030703720412545456,0.1643609623664879,0.2950815127481325,1.5500828154550164,0.11207157360522668,0.31425631923502806,0.17721237683274926,0.885655824222918
NRL,Rugby League,20,0.2114517695288086,0.047275428253961346,0.1242850021064856,0.3098803032946562,1.5404433552707522,0.2767629219370134,0.6480787924737522,0.0020004873744018698,0.6613064711694036
AFL,Australian Rules,25,0.18266051500781166,0.035638875785257866,0.1259930429126181,0.2577719710073465,1.8285833622276948,0.1963682524918316,0.797716304163544,1.7901843353261793e-06,0.4070310675915609
NHL,Ice Hockey,19,0.14423086653634423,0.025121529604003497,0.1015505867672717,0.2041381134726508,1.6998046977758179,0.2854028386627856,0.8716162198347291,1.172754664271102e-06,0.40629646784809076
MLB,Baseball*,20,0.13462879828994018,0.028253549064334377,0.0946275419881583,0.1883663446091996,1.8243141355154175,0.29536455495407427,0.6681600096330088,0.0012822754236016336,0.48223307189594794
Euroleague,Basketball,24,0.06167011803880259,0.014670198935356439,0.0385730791420591,0.0860562086628356,1.6889234425822142,0.16275305286328337,-0.028240045630356717,0.89578510904162,1.1209950244391227
NBL,Basketball,5,0.053722693177354744,0.011386969501344683,0.0420049960587268,0.0726703258049075,1.6228198876021966,0.4035710522093436,0.7612171700512224,0.13493874029381922,0.6028413172359544
NBA,Basketball,20,0.036193818216942376,0.004682739585614586,0.0258892010231369,0.0474630064381374,2.6764956785856358,0.26011067198490345,0.8007919291008693,2.219343625721009e-05,0.4726156796259633
