#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,MR
1,Adelaide,2025,23,18,,5,11-0-1,7-0-4,339.244 (58%),2278,234.231 (50%),1635,139.3,72,1 (78.26)
2,Geelong,2025,23,17,,6,9-0-2,8-0-4,356.289 (55%),2425,249.220 (53%),1714,141.5,68,2 (73.91)
3,Brisbane Lions,2025,23,16,1,6,7-0-4,2002-09-01 00:00:00,297.279 (52%),2061,263.226 (54%),1804,114.2,66,3 (71.74)
4,Collingwood,2025,23,16,,7,9-0-3,7-0-4,286.275 (51%),1991,236.211 (53%),1627,122.4,64,4 (69.57)
5,Greater Western Sydney,2025,23,16,,7,8-0-3,8-0-4,312.242 (56%),2114,259.280 (48%),1834,115.3,64,5 (69.57)
6,Fremantle,2025,23,16,,7,8-0-3,8-0-4,288.250 (54%),1978,265.225 (54%),1815,109,64,6 (69.57)
7,Gold Coast,2025,23,15,,8,9-0-2,6-0-6,317.271 (54%),2173,252.228 (53%),1740,124.9,60,7 (65.22)
8,Hawthorn,2025,23,15,,8,10-0-1,5-0-7,300.245 (55%),2045,240.251 (49%),1691,120.9,60,8 (65.22)
9,Western Bulldogs,2025,23,14,,9,7-0-5,7-0-4,369.279 (57%),2493,265.230 (54%),1820,137,56,9 (60.87)
10,Sydney,2025,23,12,,11,5-0-6,7-0-5,264.261 (50%),1845,276.246 (53%),1902,97,48,10 (52.17)
11,Carlton,2025,23,9,,14,5-0-7,4-0-7,259.245 (51%),1799,274.217 (56%),1861,96.7,36,11 (39.13)
12,St Kilda,2025,23,9,,14,5-0-7,4-0-7,268.231 (54%),1839,301.271 (53%),2077,88.5,36,12 (39.13)
13,Port Adelaide,2025,23,9,,14,7-0-5,2-0-9,244.241 (50%),1705,310.276 (53%),2136,79.8,36,13 (39.13)
14,Melbourne,2025,23,7,,16,5-0-7,2-0-9,271.276 (50%),1902,300.238 (56%),2038,93.3,28,14 (30.43)
15,Essendon,2025,23,6,,17,4-0-7,2-0-10,220.215 (51%),1535,324.265 (55%),2209,69.5,24,15 (26.09)
16,North Melbourne,2025,23,5,1,17,2008-03-01 00:00:00,2-0-9,267.203 (57%),1805,347.283 (55%),2365,76.3,22,16 (23.91)
17,Richmond,2025,23,5,,18,4-0-8,1-0-10,204.225 (48%),1449,318.289 (52%),2197,66,20,17 (21.74)
18,West Coast,2025,23,1,,22,1-0-10,0-0-12,209.212 (50%),1466,357.296 (55%),2438,60.1,4,18 (4.35)
,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,MR
1,Sydney,2024,23,17,,6,9-0-2,8-0-4,328.274 (54%),2242,252.257 (50%),1769,126.7,68,1 (73.91)
2,Port Adelaide,2024,23,16,,7,9-0-3,7-0-4,284.307 (48%),2011,253.234 (52%),1752,114.8,64,2 (69.57)
3,Geelong,2024,23,15,,8,8-0-3,7-0-5,321.238 (57%),2164,282.236 (54%),1928,112.2,60,3 (65.22)
4,Greater Western Sydney,2024,23,15,,8,9-0-2,6-0-6,303.216 (58%),2034,264.280 (49%),1864,109.1,60,4 (65.22)
5,Brisbane Lions,2024,23,14,1,8,8-0-4,2004-06-01 00:00:00,304.306 (50%),2130,254.223 (53%),1747,121.9,58,5 (63.04)
6,Western Bulldogs,2024,23,14,,9,7-0-5,7-0-4,312.299 (51%),2171,255.206 (55%),1736,125.1,56,6 (60.87)
7,Hawthorn,2024,23,14,,9,8-0-3,6-0-6,306.254 (55%),2090,256.227 (53%),1763,118.5,56,7 (60.87)
8,Carlton,2024,23,13,,10,6-0-5,7-0-5,316.255 (55%),2151,285.242 (54%),1952,110.2,52,8 (56.52)
9,Collingwood,2024,23,12,2,9,8-0-4,2005-04-02 00:00:00,288.263 (52%),1991,283.245 (54%),1943,102.5,52,9 (56.52)
10,Fremantle,2024,23,12,1,10,2004-07-01 00:00:00,5-0-6,286.248 (54%),1964,253.237 (52%),1755,111.9,50,10 (54.35)
11,Essendon,2024,23,11,1,11,2004-06-01 00:00:00,5-0-7,275.242 (53%),1892,298.236 (56%),2024,93.5,46,11 (50.00)
12,St Kilda,2024,23,11,,12,7-0-4,4-0-8,254.224 (53%),1748,253.240 (51%),1758,99.4,44,12 (47.83)
13,Gold Coast,2024,23,11,,12,9-0-3,2-0-9,281.239 (54%),1925,287.221 (56%),1943,99.1,44,13 (47.83)
14,Melbourne,2024,23,11,,12,6-0-5,5-0-7,259.231 (53%),1785,261.246 (51%),1812,98.5,44,14 (47.83)
15,Adelaide,2024,23,8,1,14,2006-05-01 00:00:00,3-0-8,279.232 (55%),1906,274.279 (50%),1923,99.1,34,15 (36.96)
16,West Coast,2024,23,5,,18,4-0-8,1-0-10,229.220 (51%),1594,347.257 (57%),2339,68.1,20,16 (21.74)
17,North Melbourne,2024,23,3,,20,2-0-9,1-0-11,244.155 (61%),1619,374.306 (55%),2550,63.5,12,17 (13.04)
18,Richmond,2024,23,2,,21,1-0-11,1-0-10,211.239 (47%),1505,349.270 (56%),2364,63.7,8,18 (8.70)
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Collingwood,2023,23,18,,5,10-0-2,8-0-3,317.240 (57%),2142,239.253 (49%),1687,127,72,
2,Brisbane Lions,2023,23,17,,6,12-0-0,5-0-6,316.284 (53%),2180,260.211 (55%),1771,123.1,68,
3,Port Adelaide,2023,23,17,,6,10-0-2,7-0-4,310.289 (52%),2149,280.226 (55%),1906,112.7,68,
4,Melbourne,2023,23,16,,7,9-0-2,7-0-5,305.249 (55%),2079,240.220 (52%),1660,125.2,64,
5,Carlton,2023,23,13,1,9,5-0-6,2003-08-01 00:00:00,275.272 (50%),1922,243.239 (50%),1697,113.3,54,
6,St Kilda,2023,23,13,,10,6-0-5,7-0-5,260.215 (55%),1775,235.237 (50%),1647,107.8,52,
7,Greater Western Sydney,2023,23,13,,10,6-0-6,7-0-4,294.254 (54%),2018,269.271 (50%),1885,107.1,52,
8,Sydney,2023,23,12,1,10,2005-05-01 00:00:00,7-0-5,299.256 (54%),2050,271.237 (53%),1863,110,50,
9,Western Bulldogs,2023,23,12,,11,5-0-6,7-0-5,276.263 (51%),1919,256.230 (53%),1766,108.7,48,
10,Adelaide,2023,23,11,,12,8-0-4,3-0-8,319.279 (53%),2193,272.245 (53%),1877,116.8,44,
11,Essendon,2023,23,11,,12,7-0-5,4-0-7,267.236 (53%),1838,300.250 (55%),2050,89.7,44,
12,Geelong,2023,23,10,1,12,8-0-4,2008-02-01 00:00:00,306.252 (55%),2088,268.247 (52%),1855,112.6,42,
13,Richmond,2023,23,10,1,12,2005-06-01 00:00:00,4-0-7,265.266 (50%),1856,287.261 (52%),1983,93.6,42,
14,Fremantle,2023,23,10,,13,5-0-7,5-0-6,271.209 (56%),1835,279.224 (55%),1898,96.7,40,
15,Gold Coast,2023,23,9,,14,7-0-4,2-0-10,265.249 (52%),1839,294.242 (55%),2006,91.7,36,
16,Hawthorn,2023,23,7,,16,5-0-6,2-0-10,243.228 (52%),1686,311.235 (57%),2101,80.2,28,
17,North Melbourne,2023,23,3,,20,2-0-9,1-0-11,243.199 (55%),1657,338.290 (54%),2318,71.5,12,
18,West Coast,2023,23,3,,20,2-0-9,1-0-11,204.194 (51%),1418,393.316 (55%),2674,53,12,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Geelong,2022,22,18,,4,10-0-1,8-0-3,310.286 (52%),2146,219.174 (56%),1488,144.2,72,
2,Melbourne,2022,22,16,,6,8-0-3,8-0-3,279.262 (52%),1936,212.211 (50%),1483,130.5,64,
3,Sydney,2022,22,16,,6,9-0-2,7-0-4,300.267 (53%),2067,232.224 (51%),1616,127.9,64,
4,Collingwood,2022,22,16,,6,8-0-3,8-0-3,268.231 (54%),1839,259.209 (55%),1763,104.3,64,
5,Fremantle,2022,22,15,1,6,7-0-4,2002-08-01 00:00:00,251.233 (52%),1739,214.202 (51%),1486,117,62,
6,Brisbane Lions,2022,22,15,,7,9-0-2,6-0-5,319.233 (58%),2147,262.227 (54%),1799,119.3,60,
7,Richmond,2022,22,13,1,8,2001-09-01 00:00:00,4-0-7,318.257 (55%),2165,254.256 (50%),1780,121.6,54,
8,Western Bulldogs,2022,22,12,,10,7-0-4,5-0-6,287.251 (53%),1973,265.222 (54%),1812,108.9,48,
9,Carlton,2022,22,12,,10,8-0-3,4-0-7,268.249 (52%),1857,248.226 (52%),1714,108.3,48,
10,St Kilda,2022,22,11,,11,5-0-6,6-0-5,247.221 (53%),1703,247.233 (51%),1715,99.3,44,
11,Port Adelaide,2022,22,10,,12,7-0-4,3-0-8,261.240 (52%),1806,233.240 (49%),1638,110.3,40,
12,Gold Coast,2022,22,10,,12,7-0-4,3-0-8,271.245 (53%),1871,261.254 (51%),1820,102.8,40,
