Season,Team,PointsFor,PointsAgainst,Wins,GamesPlayed,GamesPerSeason
2005,Bayern Munich,67,32,22,34,34
2005,Werder Bremen,79,37,21,34,34
2005,Hamburger SV,53,30,21,34,34
2005,Schalke 04,47,31,16,34,34
2005,Bayer Leverkusen,64,49,14,34,34
2005,Hertha Berlin,51,42,12,34,34
2005,Borussia Dortmund,45,39,11,34,34
2005,1. FC Nürnberg,49,51,12,34,34
2005,VfB Stuttgart,31,41,9,34,34
2005,Borussia Mönchengladbach,32,50,10,34,34
2005,1. FSV Mainz 05,38,52,9,34,34
2005,Hannover 96,35,47,7,34,34
2005,Arminia Bielefeld,32,47,10,34,34
2005,Eintracht Frankfurt,36,49,9,34,34
2005,VfL Wolfsburg,31,48,7,34,34
2005,1. FC Kaiserslautern,38,71,8,34,34
2005,1. FC Köln,32,64,7,34,34
2005,MSV Duisburg,34,63,5,34,34
2006,VfB Stuttgart,61,37,21,34,34
2006,Schalke 04,53,32,21,34,34
2006,Werder Bremen,76,40,20,34,34
2006,Bayern Munich,55,40,18,34,34
2006,Bayer Leverkusen,54,49,15,34,34
2006,1. FC Nürnberg,43,32,11,34,34
2006,Hamburger SV,43,30,10,34,34
2006,Borussia Dortmund,41,43,12,34,34
2006,1. FSV Mainz 05,34,44,10,34,34
2006,Hannover 96,41,50,12,34,34
2006,Borussia Mönchengladbach,23,44,9,34,34
2006,Eintracht Frankfurt,36,49,9,34,34
2006,Energie Cottbus,38,56,11,34,34
2006,VfL Wolfsburg,37,48,10,34,34
2006,Arminia Bielefeld,33,49,8,34,34
2006,1. FC Kaiserslautern,31,62,8,34,34
2006,Alemannia Aachen,34,60,9,34,34
2007,Bayern Munich,68,21,22,34,34
2007,Werder Bremen,76,45,20,34,34
2007,Schalke 04,55,32,18,34,34
2007,Hamburger SV,47,26,14,34,34
2007,VfL Wolfsburg,58,46,15,34,34
2007,VfB Stuttgart,57,57,16,34,34
2007,Bayer Leverkusen,57,40,15,34,34
2007,Hannover 96,54,56,13,34,34
2007,Eintracht Frankfurt,43,50,12,34,34
2007,Hertha Berlin,39,44,12,34,34
2007,Karlsruher SC,38,48,11,34,34
2007,Bochum,48,54,10,34,34
2007,Borussia Dortmund,50,62,10,34,34
2007,Energie Cottbus,35,51,9,34,34
2007,Arminia Bielefeld,35,60,8,34,34
2007,1. FC Nürnberg,35,50,7,34,34
2007,Hansa Rostock,30,55,8,34,34
2007,MSV Duisburg,36,62,8,34,34
2008,VfL Wolfsburg,80,41,21,34,34
2008,Bayern Munich,71,39,20,34,34
2008,VfB Stuttgart,63,43,19,34,34
2008,Hertha Berlin,48,41,19,34,34
2008,Hamburger SV,51,43,19,34,34
2008,Borussia Dortmund,60,37,15,34,34
2008,1899 Hoffenheim,63,49,15,34,34
2008,Schalke 04,47,31,14,34,34
2008,Bayer Leverkusen,59,44,14,34,34
2008,Werder Bremen,64,50,12,34,34
2008,Hannover 96,49,69,10,34,34
2008,1. FC Köln,35,50,11,34,34
2008,Eintracht Frankfurt,39,60,8,34,34
2008,Bochum,40,56,7,34,34
2008,Borussia Mönchengladbach,40,62,8,34,34
2008,Energie Cottbus,30,57,8,34,34
2008,Karlsruher SC,30,54,8,34,34
2008,Arminia Bielefeld,29,56,4,34,34
2009,Bayern Munich,72,31,20,34,34
2009,Schalke 04,53,31,19,34,34
2009,Werder Bremen,71,40,17,34,34
2009,Bayer Leverkusen,65,38,15,34,34
2009,Borussia Dortmund,54,42,16,34,34
2009,VfB Stuttgart,51,41,15,34,34
2009,Hamburger SV,56,56,13,34,34
2009,VfL Wolfsburg,56,52,14,34,34
2009,1. FSV Mainz 05,36,37,12,34,34
2009,Eintracht Frankfurt,38,52,12,34,34
2009,1899 Hoffenheim,44,42,11,34,34
2009,Borussia Mönchengladbach,43,60,10,34,34
2009,1. FC Köln,33,55,9,34,34
2009,SC Freiburg,35,59,9,34,34
2009,Hannover 96,41,67,9,34,34
2009,1. FC Nürnberg,32,51,8,34,34
2009,Bochum,33,64,6,34,34
2009,Hertha Berlin,34,59,5,34,34
2010,Borussia Dortmund,67,22,23,34,34
2010,Bayer Leverkusen,64,44,20,34,34
2010,Bayern Munich,81,40,19,34,34
2010,Hannover 96,49,45,19,34,34
2010,1. FSV Mainz 05,52,39,18,34,34
2010,1. FC Nürnberg,47,45,13,34,34
2010,1. FC Kaiserslautern,48,51,13,34,34
2010,Hamburger SV,46,52,12,34,34
2010,SC Freiburg,41,50,13,34,34
2010,1. FC Köln,47,62,13,34,34
2010,1899 Hoffenheim,50,50,11,34,34
2010,VfB Stuttgart,60,59,12,34,34
2010,Werder Bremen,47,61,10,34,34
2010,Schalke 04,38,44,11,34,34
2010,VfL Wolfsburg,43,48,9,34,34
2010,Borussia Mönchengladbach,48,65,10,34,34
2010,Eintracht Frankfurt,31,49,9,34,34
2010,St. Pauli,35,68,8,34,34
2011,Borussia Dortmund,80,25,25,34,34
2011,Bayern Munich,77,22,23,34,34
2011,Schalke 04,74,44,20,34,34
2011,Borussia Mönchengladbach,49,24,17,34,34
2011,Bayer Leverkusen,52,44,15,34,34
2011,VfB Stuttgart,63,46,15,34,34
2011,Hannover 96,41,45,12,34,34
2011,VfL Wolfsburg,47,48,13,34,34
2011,Werder Bremen,49,58,11,34,34
2011,1. FC Nürnberg,38,49,12,34,34
2011,1899 Hoffenheim,41,47,10,34,34
2011,SC Freiburg,45,61,10,34,34
2011,1. FSV Mainz 05,47,51,9,34,34
2011,FC Augsburg,36,49,8,34,34
2011,Hamburger SV,35,57,8,34,34
2011,1. FC Köln,39,56,8,34,34
2011,Hertha Berlin,38,64,7,34,34
2011,1. FC Kaiserslautern,24,54,4,34,34
2012,Bayern Munich,98,18,29,34,34
2012,Borussia Dortmund,81,42,19,34,34
2012,Bayer Leverkusen,65,39,19,34,34
2012,Schalke 04,58,50,16,34,34
2012,SC Freiburg,45,40,14,34,34
2012,Eintracht Frankfurt,49,46,14,34,34
2012,Hamburger SV,42,53,14,34,34
2012,Borussia Mönchengladbach,45,49,12,34,34
2012,Hannover 96,60,62,13,34,34
2012,1. FC Nürnberg,39,47,11,34,34
2012,VfL Wolfsburg,47,52,10,34,34
2012,VfB Stuttgart,37,55,12,34,34
2012,1. FSV Mainz 05,42,44,10,34,34
2012,Werder Bremen,50,66,8,34,34
2012,FC Augsburg,33,51,8,34,34
2012,1899 Hoffenheim,41,62,8,34,34
2012,Fortuna Düsseldorf,39,57,7,34,34
2012,SpVgg Greuther Fürth,26,60,4,34,34
2013,Bayern Munich,94,23,29,34,34
2013,Borussia Dortmund,80,38,22,34,34
2013,Schalke 04,63,43,19,34,34
2013,Bayer Leverkusen,60,41,19,34,34
2013,VfL Wolfsburg,62,46,18,34,34
2013,Borussia Mönchengladbach,59,43,16,34,34
2013,1. FSV Mainz 05,52,54,16,34,34
2013,FC Augsburg,47,46,15,34,34
2013,1899 Hoffenheim,72,70,11,34,34
2013,Hannover 96,53,59,12,34,34
2013,Hertha Berlin,40,47,11,34,34
2013,Werder Bremen,42,66,10,34,34
2013,Eintracht Frankfurt,40,57,9,34,34
2013,SC Freiburg,43,61,9,34,34
2013,VfB Stuttgart,49,62,8,34,34
2013,Hamburger SV,51,75,7,34,34
2013,1. FC Nürnberg,37,70,5,34,34
2013,Eintracht Braunschweig,26,52,6,34,34
2014,Bayern Munich,80,18,25,34,34
2014,VfL Wolfsburg,72,38,20,34,34
2014,Borussia Mönchengladbach,53,26,19,34,34
2014,Bayer Leverkusen,62,37,17,34,34
2014,FC Augsburg,43,43,15,34,34
2014,Schalke 04,42,40,13,34,34
2014,Borussia Dortmund,47,34,13,34,34
2014,1899 Hoffenheim,49,55,12,34,34
2014,Eintracht Frankfurt,56,62,11,34,34
2014,Werder Bremen,50,65,11,34,34
2014,1. FSV Mainz 05,45,47,9,34,34
2014,1. FC Köln,34,40,9,34,34
2014,Hannover 96,40,56,9,34,34
2014,VfB Stuttgart,42,60,9,34,34
2014,Hertha Berlin,36,52,9,34,34
2014,Hamburger SV,25,41,9,34,34
2014,SC Freiburg,36,47,7,34,34
2014,SC Paderborn,31,65,7,34,34
2015,Bayern Munich,80,17,28,34,34
2015,Borussia Dortmund,82,34,24,34,34
2015,Bayer Leverkusen,56,40,18,34,34
2015,Borussia Mönchengladbach,67,50,17,34,34
2015,Schalke 04,51,49,15,34,34
2015,1. FSV Mainz 05,46,42,14,34,34
2015,Hertha Berlin,42,42,14,34,34
2015,VfL Wolfsburg,47,49,12,34,34
2015,1. FC Köln,38,42,10,34,34
2015,Hamburger SV,40,46,10,34,34
2015,FC Ingolstadt 04,33,42,10,34,34
2015,FC Augsburg,42,52,9,34,34
2015,Werder Bremen,50,65,10,34,34
2015,Darmstadt 98,38,51,9,34,34
2015,1899 Hoffenheim,39,54,9,34,34
2015,Eintracht Frankfurt,34,52,9,34,34
2015,VfB Stuttgart,50,75,9,34,34
2015,Hannover 96,31,62,7,34,34
2016,Bayern Munich,89,22,25,34,34
2016,RB Leipzig,66,39,20,34,34
2016,Borussia Dortmund,72,40,18,34,34
2016,1899 Hoffenheim,64,37,16,34,34
2016,1. FC Köln,51,42,12,34,34
2016,Hertha Berlin,43,42,15,34,34
2016,SC Freiburg,41,60,14,34,34
2016,Werder Bremen,61,65,13,34,34
2016,Borussia Mönchengladbach,45,49,12,34,34
2016,Schalke 04,45,40,11,34,34
2016,Eintracht Frankfurt,36,43,11,34,34
2016,Bayer Leverkusen,53,55,11,34,34
2016,FC Augsburg,35,51,9,34,34
2016,Hamburger SV,33,61,10,34,34
2016,1. FSV Mainz 05,44,55,10,34,34
2016,VfL Wolfsburg,34,52,10,34,34
2016,FC Ingolstadt 04,36,57,8,34,34
2016,Darmstadt 98,28,63,7,34,34
2017,Bayern Munich,92,28,27,34,34
2017,Schalke 04,53,37,18,34,34
2017,1899 Hoffenheim,66,48,15,34,34
2017,Borussia Dortmund,72,52,15,34,34
2017,Bayer Leverkusen,58,44,15,34,34
2017,RB Leipzig,57,53,15,34,34
2017,VfB Stuttgart,36,36,15,34,34
2017,Eintracht Frankfurt,45,45,14,34,34
2017,Borussia Mönchengladbach,44,47,13,34,34
2017,Hertha Berlin,43,46,10,34,34
2017,Werder Bremen,37,49,10,34,34
2017,FC Augsburg,43,47,10,34,34
2017,Hannover 96,44,54,10,34,34
2017,1. FSV Mainz 05,38,52,9,34,34
2017,SC Freiburg,32,54,8,34,34
2017,VfL Wolfsburg,36,48,6,34,34
2017,Hamburger SV,29,53,7,34,34
2017,1. FC Köln,35,70,5,34,34
2018,Bayern Munich,88,32,24,34,34
2018,Borussia Dortmund,81,44,23,34,34
2018,RB Leipzig,63,29,19,34,34
2018,Bayer Leverkusen,69,52,18,34,34
2018,Borussia Mönchengladbach,55,42,16,34,34
2018,VfL Wolfsburg,56,48,16,34,34
2018,Eintracht Frankfurt,60,48,15,34,34
2018,Werder Bremen,58,56,14,34,34
2018,1899 Hoffenheim,70,52,13,34,34
2018,Fortuna Düsseldorf,49,65,13,34,34
2018,Hertha Berlin,49,57,11,34,34
2018,1. FSV Mainz 05,46,57,12,34,34
2018,SC Freiburg,46,61,8,34,34
2018,Schalke 04,37,55,8,34,34
2018,FC Augsburg,51,64,8,34,34
2018,VfB Stuttgart,32,70,7,34,34
2018,Hannover 96,31,71,5,34,34
2018,1. FC Nürnberg,26,68,3,34,34
2019,Bayern Munich,100,32,26,34,34
2019,Borussia Dortmund,84,41,21,34,34
2019,RB Leipzig,81,37,18,34,34
2019,Borussia Mönchengladbach,66,40,20,34,34
2019,Bayer Leverkusen,61,44,19,34,34
2019,1899 Hoffenheim,53,53,15,34,34
2019,VfL Wolfsburg,48,46,13,34,34
2019,SC Freiburg,48,47,13,34,34
2019,Eintracht Frankfurt,59,60,13,34,34
2019,Hertha Berlin,48,59,11,34,34
2019,Union Berlin,41,58,12,34,34
2019,Schalke 04,38,58,9,34,34
2019,1. FSV Mainz 05,44,65,11,34,34
2019,1. FC Köln,51,69,10,34,34
2019,FC Augsburg,45,63,9,34,34
2019,Werder Bremen,42,69,8,34,34
2019,Fortuna Düsseldorf,36,67,6,34,34
2019,SC Paderborn,37,74,4,34,34
2020,Bayern Munich,99,44,24,34,34
2020,RB Leipzig,60,32,19,34,34
2020,Borussia Dortmund,75,46,20,34,34
2020,VfL Wolfsburg,61,40,17,34,34
2020,Eintracht Frankfurt,69,53,16,34,34
2020,Bayer Leverkusen,53,39,14,34,34
2020,Union Berlin,50,44,12,34,34
2020,Borussia Mönchengladbach,64,56,13,34,34
2020,VfB Stuttgart,56,55,12,34,34
2020,SC Freiburg,52,52,12,34,34
2020,1899 Hoffenheim,52,54,11,34,34
2020,1. FSV Mainz 05,39,56,10,34,34
2020,FC Augsburg,36,44,10,34,34
2020,Hertha Berlin,41,52,8,34,34
2020,Arminia Bielefeld,26,50,9,34,34
2020,1. FC Köln,34,60,8,34,34
2020,Werder Bremen,36,57,7,34,34
2020,Schalke 04,25,86,3,34,34
2021,Bayern Munich,97,37,24,34,34
2021,Borussia Dortmund,85,52,22,34,34
2021,Bayer Leverkusen,80,47,19,34,34
2021,RB Leipzig,72,37,17,34,34
2021,Union Berlin,50,44,16,34,34
2021,SC Freiburg,58,46,15,34,34
2021,1. FC Köln,52,49,14,34,34
2021,1. FSV Mainz 05,50,45,13,34,34
2021,1899 Hoffenheim,58,60,13,34,34
