Season,Team,PointsFor,PointsAgainst,Wins,GamesPlayed,GamesPerSeason
2005,PSV Eindhoven,71,24,26,34,34
2005,AZ Alkmaar,64,34,23,34,34
2005,Feyenoord,60,30,21,34,34
2005,Ajax,66,27,21,34,34
2005,Groningen,44,36,16,34,34
2005,Utrecht,49,45,16,34,34
2005,Heerenveen,55,44,14,34,34
2005,Roda JC,51,54,15,34,34
2005,NAC Breda,44,56,13,34,34
2005,Heracles Almelo,33,42,11,34,34
2005,Sparta Rotterdam,30,42,10,34,34
2005,ADO Den Haag,32,45,10,34,34
2005,NEC Nijmegen,35,45,13,34,34
2005,Twente,34,52,9,34,34
2005,Vitesse,40,53,12,34,34
2005,RKC Waalwijk,38,56,11,34,34
2005,Willem II,30,58,7,34,34
2005,RBC Roosendaal,19,57,4,34,34
2006,PSV Eindhoven,75,25,23,34,34
2006,Ajax,84,35,23,34,34
2006,AZ Alkmaar,75,31,21,34,34
2006,Twente,63,45,19,34,34
2006,Heerenveen,60,43,16,34,34
2006,Roda JC,55,55,15,34,34
2006,Feyenoord,54,44,15,34,34
2006,Groningen,50,46,15,34,34
2006,Utrecht,41,44,13,34,34
2006,NEC Nijmegen,35,33,12,34,34
2006,NAC Breda,40,44,12,34,34
2006,Vitesse,43,47,10,34,34
2006,Sparta Rotterdam,40,45,10,34,34
2006,Heracles Almelo,32,34,11,34,34
2006,Willem II,27,44,9,34,34
2006,ADO Den Haag,29,41,8,34,34
2006,RKC Waalwijk,31,52,6,34,34
2006,Sittard,28,60,7,34,34
2007,PSV Eindhoven,68,26,21,34,34
2007,Ajax,86,45,20,34,34
2007,NAC Breda,48,53,19,34,34
2007,Twente,52,31,17,34,34
2007,Heerenveen,53,45,18,34,34
2007,Feyenoord,56,42,18,34,34
2007,Groningen,55,52,18,34,34
2007,Utrecht,59,55,18,34,34
2007,AZ Alkmaar,49,36,15,34,34
2007,Vitesse,37,45,12,34,34
2007,NEC Nijmegen,42,37,14,34,34
2007,Willem II,36,51,12,34,34
2007,Heracles Almelo,32,51,11,34,34
2007,Sparta Rotterdam,38,45,11,34,34
2007,De Graafschap,30,45,10,34,34
2007,VVV-Venlo,34,52,9,34,34
2007,Excelsior,30,57,7,34,34
2007,ADO Den Haag,29,57,8,34,34
2008,AZ Alkmaar,74,29,25,34,34
2008,Twente,61,32,20,34,34
2008,Ajax,74,41,21,34,34
2008,PSV Eindhoven,67,31,19,34,34
2008,Heerenveen,66,57,17,34,34
2008,Groningen,53,45,17,34,34
2008,Utrecht,51,45,15,34,34
2008,NAC Breda,44,44,13,34,34
2008,Vitesse,48,50,15,34,34
2008,NEC Nijmegen,44,45,14,34,34
2008,Willem II,41,56,13,34,34
2008,Sparta Rotterdam,41,55,12,34,34
2008,ADO Den Haag,36,56,10,34,34
2008,Heracles Almelo,38,56,10,34,34
2008,Feyenoord,41,42,12,34,34
2008,Roda JC,34,44,11,34,34
2008,De Graafschap,26,45,7,34,34
2008,Volendam,34,64,7,34,34
2009,Twente,63,31,27,34,34
2009,Ajax,86,36,27,34,34
2009,PSV Eindhoven,71,44,23,34,34
2009,Feyenoord,56,52,17,34,34
2009,AZ Alkmaar,56,44,19,34,34
2009,Heracles Almelo,47,48,17,34,34
2009,Utrecht,53,43,14,34,34
2009,Groningen,56,53,14,34,34
2009,Roda JC,42,45,14,34,34
2009,NAC Breda,41,52,12,34,34
2009,Heerenveen,52,60,11,34,34
2009,VVV-Venlo,40,58,12,34,34
2009,NEC Nijmegen,35,44,11,34,34
2009,Vitesse,37,54,12,34,34
2009,ADO Den Haag,39,52,11,34,34
2009,Willem II,32,57,9,34,34
2009,Sparta Rotterdam,36,51,9,34,34
2009,RKC Waalwijk,30,55,5,34,34
2010,Ajax,106,41,22,34,34
2010,Twente,84,39,21,34,34
2010,PSV Eindhoven,79,34,20,34,34
2010,AZ Alkmaar,70,44,17,34,34
2010,Groningen,58,47,17,34,34
2010,Roda JC,61,47,14,34,34
2010,ADO Den Haag,62,61,16,34,34
2010,Heracles Almelo,49,50,14,34,34
2010,Utrecht,43,45,14,34,34
2010,Feyenoord,43,49,12,34,34
2010,NEC Nijmegen,42,45,10,34,34
2010,Heerenveen,47,52,10,34,34
2010,VVV-Venlo,44,61,10,34,34
2010,Excelsior,44,60,11,34,34
2010,De Graafschap,31,56,9,34,34
2010,SC Cambuur,32,55,8,34,34
2010,Vitesse,33,51,9,34,34
2010,Willem II,32,64,5,34,34
2011,Ajax,92,36,23,34,34
2011,Feyenoord,72,44,21,34,34
2011,PSV Eindhoven,86,40,21,34,34
2011,AZ Alkmaar,67,42,18,34,34
2011,Heerenveen,71,61,18,34,34
2011,Twente,77,41,17,34,34
2011,Vitesse,56,50,15,34,34
2011,NEC Nijmegen,41,44,15,34,34
2011,RKC Waalwijk,47,51,14,34,34
2011,Roda JC,51,55,14,34,34
2011,Utrecht,50,58,14,34,34
2011,Heracles Almelo,48,61,13,34,34
2011,NAC Breda,47,58,13,34,34
2011,Groningen,44,53,12,34,34
2011,ADO Den Haag,46,62,11,34,34
2011,VVV-Venlo,42,63,10,34,34
2011,De Graafschap,33,58,9,34,34
2011,Excelsior,30,66,5,34,34
2012,Ajax,88,36,22,34,34
2012,PSV Eindhoven,102,34,22,34,34
2012,Feyenoord,72,46,21,34,34
2012,Vitesse,65,42,19,34,34
2012,Utrecht,54,46,17,34,34
2012,Twente,67,46,16,34,34
2012,Groningen,53,45,16,34,34
2012,Heerenveen,54,48,16,34,34
2012,ADO Den Haag,44,53,13,34,34
2012,AZ Alkmaar,45,41,16,34,34
2012,NAC Breda,47,60,13,34,34
2012,Heracles Almelo,51,67,13,34,34
2012,Roda JC,49,59,11,34,34
2012,NEC Nijmegen,41,47,11,34,34
2012,RKC Waalwijk,37,54,9,34,34
2012,SC Cambuur,32,52,8,34,34
2012,PEC Zwolle,31,51,8,34,34
2012,FC Groningen,53,45,16,34,34
2012,VVV-Venlo,34,59,6,34,34
2012,FC Utrecht,54,46,17,34,34
2013,Ajax,78,33,20,34,34
2013,Feyenoord,80,41,20,34,34
