Year,Team,For,Agn,Wins,GamesPlayed
2000,Kinder Bologna,1863.4,1652.2,19,22
2000,AEK Athens,1457.3,1421.2,13,19
2000,Paf Wennington Bologna,1411.2,1393.2,12,18
2000,Real Madrid Teka,1252.5,1132.5,10,15
2000,FC Barcelona,1023.6,942.0,8,12
2000,TAU Cerámica,1777.9,1662.9,15,23
2000,Olympiacos,1198.4,1090.6,9,14
2000,PAOK,1067.3,994.5,8,13
2000,Bennetton Basket,1267.5,1186.5,9,15
2000,Union Olimpija,1203.0,1134.0,9,15
2000,Budućnost,969.6,986.4,7,12
2000,Peristeri,987.6,948.0,7,12
2000,Žalgiris,997.2,957.6,6,12
2000,Muller Verona,1095.6,1044.0,6,12
2000,Adecco Estudiantes,969.6,1018.8,4,12
2000,Lugano Tigers,777.0,914.0,3,10
2000,Hapoel Bank Yahav Jerusalem,784.0,881.0,3,10
2000,Cibona Zagreb,910.8,982.8,3,12
2000,Spirou Charleroi,769.0,857.0,2,10
2000,Spartak Saint Petersburg,778.0,840.0,2,10
2000,Zadar,840.0,859.0,2,10
2000,Haribo London Towers,775.0,878.0,1,10
2000,Opel Skyliners,696.0,856.0,1,10
2000,Ovarense Aerosoles,746.0,983.0,0,10
2001,Panathinaikos,1843.6,1698.4,19,22
2001,Kinder Bologna,1795.2,1566.4,17,22
2001,Bennetton Basket,1827.0,1713.6,15,21
2001,FC Barcelona,1710.0,1534.0,14,20
2001,Olympiacos,1686.0,1550.0,14,20
2001,Maccabi Playtika Tel Aviv,1585.5,1474.2,14,21
2001,TAU Cerámica,1716.0,1530.0,13,20
2001,Anadolu Efes,1566.0,1514.0,12,20
2001,Real Madrid,1712.0,1652.0,12,20
2001,Opel Skyliners,1037.4,1059.8,8,14
2001,ASVEL Basket,1146.6,1135.4,8,14
2001,AEK Athens,1626.0,1578.0,11,20
2001,CSKA Moscow,1708.0,1674.0,11,20
2001,Union Olimpija,1536.0,1478.0,10,20
2001,Skipper Bologna,1676.0,1660.0,10,20
2001,Fenerbahçe Beko,1500.0,1512.0,10,20
2001,Ural Great Perm,1782.0,1802.0,10,20
2001,Scavolini Pesaro,1612.0,1670.0,10,20
2001,Krka,1244.6,1222.2,7,14
2001,Élan Béarnais Pau-Orthez,1125.6,1114.4,7,14
2001,Unicaja Málaga,1054.2,1051.4,6,14
2001,Partizan,1138.2,1191.4,6,14
2001,Žalgiris,1054.2,1097.6,5,14
2001,Cibona Zagreb,1110.2,1164.8,5,14
2001,Śląsk Wrocław,1001.0,1061.2,4,14
2001,Spirou Charleroi,1048.6,1181.6,3,14
2001,Peristeri,1051.4,1157.8,3,14
2001,Telindus Oostende,1138.2,1247.4,3,14
2001,Budućnost,1107.4,1257.2,3,14
2001,Alba Berlin,1065.4,1153.6,3,14
2001,Zadar,1156.4,1307.6,2,14
2001,Kinder London Towers,910.0,1265.6,0,14
2002,Bennetton Basket,1905.2,1698.4,18,22
2002,FC Barcelona,1738.0,1608.2,18,22
2002,CSKA Moscow,1795.2,1557.6,17,22
2002,Panathinaikos,1586.0,1546.0,14,20
2002,Anadolu Efes,1498.0,1430.0,12,20
2002,Fenerbahçe Beko,1596.0,1548.0,12,20
2002,Union Olimpija,1550.0,1490.0,12,20
2002,Maccabi Playtika Tel Aviv,1666.0,1558.0,11,20
2002,TAU Cerámica,1628.0,1606.0,11,20
2002,Skipper Bologna,1536.0,1536.0,11,20
2002,Montepaschi Siena,1782.0,1718.2,11,22
2002,Olympiacos,1494.0,1460.0,10,20
2002,Cibona Zagreb,1514.0,1618.0,9,20
2002,Élan Béarnais Pau-Orthez,1076.6,1124.2,6,14
2002,Real Madrid,1093.4,1113.0,6,14
2002,Unicaja Málaga,1534.0,1574.0,8,20
2002,Žalgiris,1141.0,1195.6,5,14
2002,Śląsk Wrocław,1038.8,1125.6,5,14
2002,ASVEL Basket,1550.0,1614.0,7,20
2002,Virtus Bologna,1550.0,1684.0,6,20
2002,Partizan,1108.8,1183.0,4,14
2002,Alba Berlin,1064.0,1171.8,4,14
2002,Budućnost,1107.4,1296.4,2,14
2002,AEK Athens,999.6,1097.6,1,14
2003,CSKA Moscow,1777.6,1606.0,17,22
2003,Maccabi Playtika Tel Aviv,1925.0,1733.6,17,22
2003,Anadolu Efes,1494.0,1392.0,14,20
2003,FC Barcelona,1532.0,1390.0,14,20
2003,Bennetton Basket,1694.0,1560.0,14,20
2003,TAU Cerámica,1688.0,1604.0,13,20
2003,Pamesa Valencia,1568.0,1510.0,13,20
2003,Skipper Bologna,1867.8,1850.2,14,22
2003,Montepaschi Siena,1777.6,1729.2,11,22
2003,Cibona Zagreb,1544.0,1550.0,10,20
2003,Žalgiris,1662.0,1650.0,9,20
2003,Panathinaikos,1602.0,1620.0,9,20
2003,Fenerbahçe Beko,1472.0,1556.0,9,20
2003,Partizan,1080.8,1078.0,6,14
2003,Śląsk Wrocław,1110.2,1163.4,6,14
