Season,Team,PointsFor,PointsAgainst,Wins,GamesPlayed,GamesPerSeason
2005,FC Barcelona,80,35,25,38,38
2005,Real Madrid,70,40,20,38,38
2005,Valencia CF,58,33,19,38,38
2005,CA Osasuna,49,43,21,38,38
2005,Sevilla FC,54,39,20,38,38
2005,Celta de Vigo,45,33,20,38,38
2005,Villarreal CF,50,39,14,38,38
2005,Deportivo de La Coruña,47,45,15,38,38
2005,Getafe CF,48,44,15,38,38
2005,Atlético de Madrid,45,37,13,38,38
2005,Real Zaragoza,46,51,10,38,38
2005,Athletic Bilbao,40,46,11,38,38
2005,RCD Mallorca,36,51,10,38,38
2005,Real Betis,34,41,10,38,38
2005,RCD Espanyol,36,56,10,38,38
2005,Real Sociedad,48,53,11,38,38
2005,Racing Santander,36,56,9,38,38
2005,Deportivo Alavés,41,63,9,38,38
2005,Cádiz CF,36,66,8,38,38
2005,Málaga CF,36,68,5,38,38
2006,Real Madrid,66,40,23,38,38
2006,FC Barcelona,78,33,22,38,38
2006,Sevilla FC,64,35,21,38,38
2006,Valencia CF,57,42,20,38,38
2006,Villarreal CF,48,44,18,38,38
2006,Real Zaragoza,55,51,16,38,38
2006,Atlético de Madrid,46,39,17,38,38
2006,Real Betis,36,42,15,38,38
2006,Getafe CF,33,39,14,38,38
2006,Racing Santander,42,48,12,38,38
2006,RCD Espanyol,46,53,12,38,38
2006,RCD Mallorca,41,47,14,38,38
2006,Deportivo de La Coruña,32,44,12,38,38
2006,CA Osasuna,51,49,13,38,38
2006,Levante UD,37,51,10,38,38
2006,Athletic Bilbao,42,62,10,38,38
2006,Real Sociedad,32,47,8,38,38
2006,Gimnàstic de Tarragona,34,74,7,38,38
2006,Celta de Vigo,28,46,6,38,38
2007,Real Madrid,84,36,27,38,38
2007,Villarreal CF,63,40,24,38,38
2007,FC Barcelona,76,33,19,38,38
2007,Atlético de Madrid,67,39,19,38,38
2007,Sevilla FC,75,49,20,38,38
2007,Racing Santander,42,41,17,38,38
2007,RCD Mallorca,69,54,15,38,38
2007,UD Almería,42,45,14,38,38
2007,Deportivo de La Coruña,46,49,15,38,38
2007,Valencia CF,38,52,15,38,38
2007,Athletic Bilbao,40,46,13,38,38
2007,RCD Espanyol,38,46,13,38,38
2007,Real Betis,51,58,12,38,38
2007,Getafe CF,44,48,12,38,38
2007,Real Zaragoza,50,61,10,38,38
2007,CA Osasuna,36,49,12,38,38
2007,Valladolid,42,57,11,38,38
2007,Recreativo Huelva,40,60,11,38,38
2007,Murcia,36,65,7,38,38
2007,Levante UD,33,75,7,38,38
2008,FC Barcelona,105,35,27,38,38
2008,Real Madrid,83,52,25,38,38
2008,Sevilla FC,54,39,21,38,38
2008,Atlético de Madrid,68,54,20,38,38
2008,Villarreal CF,61,54,18,38,38
2008,Valencia CF,68,54,18,38,38
2008,Deportivo de La Coruña,48,47,16,38,38
2008,Málaga CF,55,59,15,38,38
2008,RCD Mallorca,53,60,14,38,38
2008,RCD Espanyol,46,49,12,38,38
2008,UD Almería,45,61,13,38,38
2008,Racing Santander,45,56,12,38,38
2008,Athletic Bilbao,47,62,12,38,38
2008,Sporting Gijón,47,79,14,38,38
2008,CA Osasuna,41,49,10,38,38
2008,Valladolid,46,58,12,38,38
2008,Getafe CF,50,56,10,38,38
2008,Real Betis,51,64,10,38,38
2008,Recreativo Huelva,34,57,8,38,38
2008,CD Numancia,38,69,10,38,38
2009,FC Barcelona,98,24,31,38,38
2009,Real Madrid,102,35,31,38,38
2009,Valencia CF,59,40,21,38,38
2009,Sevilla FC,60,46,19,38,38
2009,RCD Mallorca,59,44,18,38,38
2009,Getafe CF,53,52,17,38,38
2009,Villarreal CF,58,57,16,38,38
2009,Athletic Bilbao,50,53,15,38,38
2009,Atlético de Madrid,57,53,13,38,38
2009,Deportivo de La Coruña,35,49,13,38,38
2009,RCD Espanyol,29,46,11,38,38
2009,CA Osasuna,37,46,11,38,38
2009,UD Almería,43,55,10,38,38
2009,Real Zaragoza,46,64,10,38,38
2009,Sporting Gijón,36,51,9,38,38
2009,Racing Santander,42,59,9,38,38
2009,Málaga CF,42,66,7,38,38
2009,Valladolid,37,62,7,38,38
2009,Tenerife,40,71,9,38,38
2009,Xerez,38,66,8,38,38
2010,FC Barcelona,95,21,30,38,38
2010,Real Madrid,102,33,29,38,38
2010,Valencia CF,64,44,21,38,38
2010,Villarreal CF,62,47,18,38,38
2010,Sevilla FC,62,55,17,38,38
2010,Athletic Bilbao,59,55,18,38,38
2010,Atlético de Madrid,62,53,17,38,38
2010,RCD Espanyol,49,50,15,38,38
2010,CA Osasuna,45,46,13,38,38
2010,Sporting Gijón,35,42,11,38,38
2010,Málaga CF,54,68,13,38,38
2010,Racing Santander,41,56,12,38,38
2010,Real Zaragoza,40,53,12,38,38
2010,Levante UD,44,56,12,38,38
2010,Real Sociedad,49,66,14,38,38
2010,Getafe CF,49,58,12,38,38
2010,RCD Mallorca,46,61,12,38,38
2010,Deportivo de La Coruña,31,47,10,38,38
2010,Hércules CF,36,60,9,38,38
2010,UD Almería,43,67,6,38,38
2011,Real Madrid,121,32,32,38,38
2011,FC Barcelona,114,29,28,38,38
2011,Valencia CF,59,44,17,38,38
2011,Málaga CF,54,53,17,38,38
2011,Atlético de Madrid,53,46,15,38,38
2011,Levante UD,45,43,16,38,38
2011,CA Osasuna,40,54,13,38,38
2011,RCD Mallorca,42,46,14,38,38
2011,Sevilla FC,48,47,13,38,38
2011,Athletic Bilbao,49,52,12,38,38
2011,Getafe CF,40,51,12,38,38
2011,Real Sociedad,46,52,12,38,38
2011,Real Betis,47,56,13,38,38
2011,RCD Espanyol,46,56,12,38,38
2011,Rayo Vallecano,53,66,13,38,38
2011,Real Zaragoza,36,51,12,38,38
2011,Granada CF,35,56,12,38,38
2011,Villarreal CF,39,53,9,38,38
2011,Sporting Gijón,42,60,10,38,38
2011,Racing Santander,28,63,4,38,38
2012,FC Barcelona,115,40,32,38,38
2012,Real Madrid,103,42,26,38,38
2012,Atlético de Madrid,65,31,23,38,38
2012,Real Sociedad,70,49,18,38,38
2012,Valencia CF,65,54,19,38,38
2012,Málaga CF,53,46,16,38,38
2012,Real Betis,57,56,16,38,38
2012,Rayo Vallecano,50,66,16,38,38
2012,Sevilla FC,58,54,14,38,38
2012,Getafe CF,43,57,13,38,38
2012,Levante UD,40,57,12,38,38
2012,Athletic Bilbao,44,65,12,38,38
2012,RCD Espanyol,43,52,11,38,38
2012,Valladolid,49,58,11,38,38
2012,Granada CF,37,54,11,38,38
2012,CA Osasuna,33,50,10,38,38
2012,Celta de Vigo,37,52,10,38,38
2012,RCD Mallorca,43,72,9,38,38
2012,Deportivo de La Coruña,47,70,8,38,38
2012,Real Zaragoza,37,62,9,38,38
2013,Atlético de Madrid,77,26,28,38,38
2013,FC Barcelona,100,33,27,38,38
2013,Real Madrid,104,38,27,38,38
2013,Athletic Bilbao,66,42,20,38,38
2013,Sevilla FC,69,52,18,38,38
2013,Villarreal CF,60,44,17,38,38
2013,Real Sociedad,62,55,16,38,38
2013,Valencia CF,51,53,13,38,38
2013,Celta de Vigo,49,54,14,38,38
2013,Levante UD,35,43,12,38,38
2013,Málaga CF,39,46,12,38,38
2013,Rayo Vallecano,46,80,13,38,38
2013,Getafe CF,35,54,11,38,38
2013,RCD Espanyol,41,51,11,38,38
2013,Granada CF,32,56,12,38,38
2013,Elche CF,30,50,9,38,38
2013,UD Almería,43,71,11,38,38
2013,CA Osasuna,32,62,10,38,38
2013,Valladolid,38,60,7,38,38
2013,Real Betis,36,78,6,38,38
2014,FC Barcelona,110,21,30,38,38
2014,Real Madrid,118,38,30,38,38
2014,Atlético de Madrid,67,29,23,38,38
2014,Valencia CF,70,32,22,38,38
2014,Sevilla FC,71,45,23,38,38
2014,Villarreal CF,48,35,16,38,38
2014,Athletic Bilbao,42,38,15,38,38
2014,Celta de Vigo,47,44,13,38,38
2014,Málaga CF,42,48,14,38,38
2014,RCD Espanyol,47,51,13,38,38
2014,Rayo Vallecano,46,68,15,38,38
2014,Real Sociedad,44,51,11,38,38
2014,Elche CF,35,52,11,38,38
