Season,Team,PointsFor,PointsAgainst,Wins,GamesPlayed
2005,Chicago White Sox,741,645,99,162
2005,Cleveland Guardians,790,642,93,162
2005,Minnesota Twins,688,662,83,162
2005,Detroit Tigers,723,772,71,162
2005,Kansas City Royals,701,835,56,162
2005,New York Yankees,886,789,95,162
2005,Boston Red Sox,910,805,95,162
2005,Toronto Blue Jays,775,705,80,162
2005,Baltimore Orioles,729,800,74,162
2005,Tampa Bay Rays,750,936,67,162
2005,Los Angeles Angels,761,643,95,162
2005,Oakland Athletics,772,658,88,162
2005,Texas Rangers,865,858,79,162
2005,Seattle Mariners,699,751,69,162
2005,St. Louis Cardinals,757,630,100,162
2005,Houston Astros,693,609,89,162
2005,Milwaukee Brewers,726,697,81,162
2005,Chicago Cubs,703,674,79,162
2005,Cincinnati Reds,820,889,73,162
2005,Pittsburgh Pirates,680,769,67,162
2005,Atlanta Braves,769,674,90,162
2005,Philadelphia Phillies,807,726,88,162
2005,Florida Marlins,717,732,83,162
2005,New York Mets,722,648,83,162
2005,Washington Nationals,639,673,81,162
2005,San Diego Padres,684,626,82,162
2005,Arizona Diamondbacks,696,856,77,162
2005,San Francisco Giants,649,745,75,162
2005,Los Angeles Dodgers,685,755,71,162
2005,Colorado Rockies,740,835,67,162
2006,New York Yankees,930,767,97,162
2006,Toronto Blue Jays,809,754,87,162
2006,Boston Red Sox,820,825,86,162
2006,Baltimore Orioles,768,899,70,162
2006,Tampa Bay Devils Rays,689,856,61,162
2006,Minnesota Twins,801,683,96,162
2006,Detroit Tigers,822,674,95,162
2006,Chicago White Sox,868,794,90,162
2006,Cleveland Guardians,870,782,78,162
2006,Kansas City Royals,757,971,62,162
2006,Oakland Athletics,771,727,93,162
2006,Los Angeles Angels,766,732,89,162
2006,Texas Rangers,835,812,80,162
2006,Seattle Mariners,756,789,78,162
2006,New York Mets,834,731,97,162
2006,Philadelphia Phillies,865,812,85,162
2006,Atlanta Braves,849,805,79,162
2006,Florida Marlins,772,747,78,162
2006,Washington Nationals,746,872,71,162
2006,St. Louis Cardinals,781,762,83,162
2006,Houston Astros,735,719,82,162
2006,Cincinnati Reds,749,801,80,162
2006,Milwaukee Brewers,730,833,75,162
2006,Chicago Cubs,716,834,66,162
2006,Pittsburgh Pirates,691,797,67,162
2006,San Diego Padres,731,679,88,162
2006,Los Angeles Dodgers,820,751,88,162
