Year,Team,For,Agn,Wins,GamesPlayed
2024,Boston Celtics,9889,8954,64,82
2024,Oklahoma City Thunder,9848,9241,57,82
2024,Denver Nuggets,9422,8987,57,82
2024,Minnesota Timberwolves,9266,8733,56,82
2024,Los Angeles Clippers,9479,9209,51,82
2024,New York Knicks,9250,8872,50,82
2024,Dallas Mavericks,9668,9479,50,82
2024,Milwaukee Bucks,9758,9545,49,82
2024,Phoenix Suns,9528,9282,49,82
2024,New Orleans Pelicans,9438,9077,49,82
2024,Cleveland Cavaliers,9233,9036,48,82
2024,Orlando Magic,9061,8889,47,82
2024,Indiana Pacers,10111,9856,47,82
2024,Philadelphia 76ers,9397,9143,47,82
2024,Los Angeles Lakers,9676,9627,47,82
2024,Miami Heat,9028,8889,46,82
2024,Sacramento Kings,9561,9414,46,82
2024,Golden State Warriors,9660,9446,46,82
2024,Houston Rockets,9373,9282,41,82
2024,Chicago Bulls,9209,9323,39,82
2024,Atlanta Hawks,9701,9881,36,82
2024,Brooklyn Nets,9053,9291,32,82
2024,Utah Jazz,9487,9881,31,82
2024,Memphis Grizzlies,8676,9250,27,82
2024,Toronto Raptors,9217,9742,25,82
2024,San Antonio Spurs,9192,9725,22,82
2024,Charlotte Hornets,8741,9578,21,82
2024,Portland Trail Blazers,8725,9463,21,82
2024,Washington Wizards,9323,10086,15,82
2024,Detroit Pistons,9012,9758,14,82
2023,Milwaukee Bucks,9586,9291,58,82
2023,Boston Celtics,9668,9135,57,82
2023,Philadelphia 76ers,9446,9094,54,82
2023,Denver Nuggets,9496,9225,53,82
2023,Cleveland Cavaliers,9209,8766,51,82
2023,Memphis Grizzlies,9586,9266,51,82
2023,Sacramento Kings,9897,9684,48,82
2023,New York Knicks,9512,9274,47,82
2023,Brooklyn Nets,9299,9225,45,82
2023,Phoenix Suns,9315,9151,45,82
2023,Miami Heat,8979,9004,44,82
2023,Los Angeles Clippers,9315,9274,44,82
2023,Golden State Warriors,9750,9602,44,82
2023,Los Angeles Lakers,9610,9561,43,82
2023,Minnesota Timberwolves,9496,9496,42,82
2023,New Orleans Pelicans,9381,9225,42,82
2023,Atlanta Hawks,9709,9684,41,82
2023,Toronto Raptors,9258,9135,41,82
2023,Chicago Bulls,9274,9168,40,82
2023,Oklahoma City Thunder,9635,9545,40,82
2023,Dallas Mavericks,9364,9356,38,82
2023,Utah Jazz,9602,9676,37,82
2023,Indiana Pacers,9537,9799,35,82
2023,Washington Wizards,9282,9381,35,82
2023,Orlando Magic,9135,9348,34,82
2023,Portland Trail Blazers,9299,9627,33,82
2023,Charlotte Hornets,9102,9610,27,82
2023,Houston Rockets,9077,9725,22,82
2023,San Antonio Spurs,9266,10094,22,82
2023,Detroit Pistons,9045,9717,17,82
2022,Phoenix Suns,9414,8799,64,82
2022,Memphis Grizzlies,9479,9012,56,82
2022,Miami Heat,9020,8659,53,82
2022,Golden State Warriors,9102,8651,53,82
2022,Dallas Mavericks,8856,8585,52,82
2022,Boston Celtics,9168,8569,51,82
2022,Milwaukee Bucks,9471,9192,51,82
2022,Philadelphia 76ers,9012,8799,51,82
2022,Utah Jazz,9315,8823,49,82
2022,Toronto Raptors,8971,8782,48,82
2022,Denver Nuggets,9241,9053,48,82
2022,Chicago Bulls,9151,9184,46,82
2022,Minnesota Timberwolves,9504,9291,46,82
2022,Brooklyn Nets,9258,9192,44,82
2022,Cleveland Cavaliers,8840,8667,44,82
2022,Atlanta Hawks,9340,9217,43,82
2022,Charlotte Hornets,9455,9422,43,82
2022,Los Angeles Clippers,8889,8889,42,82
2022,New York Knicks,8733,8741,37,82
2022,New Orleans Pelicans,8963,9045,36,82
2022,Washington Wizards,8905,9184,35,82
2022,San Antonio Spurs,9282,9266,34,82
2022,Los Angeles Lakers,9192,9438,33,82
2022,Sacramento Kings,9045,9496,30,82
2022,Portland Trail Blazers,8708,9438,27,82
2022,Indiana Pacers,9143,9422,25,82
2022,Oklahoma City Thunder,8503,9168,24,82
2022,Detroit Pistons,8594,9225,23,82
2022,Orlando Magic,8544,9200,22,82
2022,Houston Rockets,8995,9692,20,82
2021,Utah Jazz,8381,7718,52,72
2021,Phoenix Suns,8302,7884,51,72
2021,Philadelphia 76ers,8179,7783,49,72
2021,Brooklyn Nets,8539,8215,48,72
2021,Denver Nuggets,8287,7927,47,72
2021,Los Angeles Clippers,8208,7762,47,72
2021,Milwaukee Bucks,8647,8222,46,72
2021,Dallas Mavericks,8093,7934,42,72
2021,Portland Trail Blazers,8359,8230,42,72
2021,Los Angeles Lakers,7884,7690,42,72
2021,New York Knicks,7704,7538,41,72
2021,Atlanta Hawks,8186,8021,41,72
2021,Miami Heat,7783,7776,40,72
2021,Golden State Warriors,8186,8114,39,72
2021,Memphis Grizzlies,8158,8086,38,72
2021,Boston Celtics,8107,8006,36,72
2021,Washington Wizards,8395,8532,34,72
2021,Indiana Pacers,8302,8302,34,72
2021,Charlotte Hornets,7884,8021,33,72
2021,San Antonio Spurs,7999,8122,33,72
