Year,Team,For,Agn,Wins,GamesPlayed
2021,Melbourne United,2455.6,2242.8,20,28
2021,Illawarra Hawks,2497.6,2346.4,19,28
2021,Sydney Kings,2396.8,2312.8,19,28
2021,Tasmania JackJumpers,2228.8,2220.4,17,28
2021,Perth Wildcats,2494.8,2377.2,16,28
2021,South East Melbourne Phoenix,2455.6,2424.8,15,28
2021,Adelaide 36ers,2282.0,2346.4,10,28
2021,Brisbane Bullets,2380.0,2500.4,10,28
2021,Cairns Taipans,2228.8,2408.0,9,28
2021,New Zealand Breakers,2234.4,2478.0,5,28
2022,Sydney Kings,2679.6,2466.8,19,28
2022,New Zealand Breakers,2422.0,2245.6,18,28
2022,Cairns Taipans,2455.6,2377.2,18,28
2022,Tasmania JackJumpers,2385.6,2304.4,16,28
2022,South East Melbourne Phoenix,2553.6,2511.6,15,28
2022,Perth Wildcats,2578.8,2567.6,15,28
2022,Melbourne United,2433.2,2424.8,15,28
2022,Adelaide 36ers,2545.2,2598.4,13,28
2022,Brisbane Bullets,2366.0,2601.2,8,28
2022,Illawarra Hawks,2262.4,2584.4,3,28
2023,Melbourne United,2615.2,2452.8,20,28
2023,Perth Wildcats,2629.2,2562.0,17,28
2023,Tasmania JackJumpers,2564.8,2377.2,16,28
2023,Illawarra Hawks,2548.0,2517.2,14,28
2023,Sydney Kings,2671.2,2601.2,13,28
2023,New Zealand Breakers,2497.6,2480.8,13,28
2023,Brisbane Bullets,2458.4,2534.0,13,28
2023,Cairns Taipans,2506.0,2590.0,12,28
2023,Adelaide 36ers,2458.4,2562.0,12,28
2023,South East Melbourne Phoenix,2424.8,2690.8,10,28
2024,Illawarra Hawks,2940.6,2644.8,20,29
2024,Melbourne United,2772.4,2650.6,19,29
2024,Perth Wildcats,2902.9,2810.1,18,29
2024,South East Melbourne Phoenix,2786.9,2656.4,16,29
2024,Sydney Kings,2630.3,2557.8,16,29
2024,Adelaide 36ers,2734.7,2795.6,13,29
2024,Tasmania JackJumpers,2436.0,2552.0,13,29
2024,Brisbane Bullets,2676.7,2839.1,12,29
2024,New Zealand Breakers,2485.3,2650.6,10,29
2024,Cairns Taipans,2560.7,2769.5,8,29
2025,Sydney Kings,3276.9,2877.6,24,33
2025,Adelaide 36ers,3148.4,3002.2,23,34
2025,South East Melbourne Phoenix,3323.1,3062.4,22,33
2025,Perth Wildcats,2996.4,2841.3,21,33
2025,Melbourne United,3042.6,2904.0,20,33
2025,Tasmania JackJumpers,2874.3,2884.2,14,33
2025,New Zealand Breakers,3131.4,3165.4,14,34
2025,Illawarra Hawks,3075.6,3204.3,13,33
2025,Cairns Taipans,2755.5,3194.4,9,33
2025,Brisbane Bullets,2709.3,3194.4,6,33
