Season,Team,PointsFor,PointsAgainst,Wins,GamesPlayed,GamesPerSeason
2005,Carolina Hurricanes,294,260,52,82,82
2005,Ottawa Senators,314,211,52,82,82
2005,New Jersey Devils,242,229,46,82,82
2005,New York Rangers,257,215,44,82,82
2005,Montreal Canadiens,243,247,42,82,82
2005,Toronto Maple Leafs,257,270,41,82,82
2005,Boston Bruins,230,266,29,82,82
2005,Buffalo Sabres,281,239,52,82,82
2005,Philadelphia Flyers,267,259,45,82,82
2005,New York Islanders,230,278,36,82,82
2005,Pittsburgh Penguins,244,316,22,82,82
2005,Detroit Red Wings,305,209,58,82,82
2005,Dallas Stars,265,218,53,82,82
2005,Nashville Predators,259,227,49,82,82
2005,St. Louis Blues,197,292,21,82,82
2005,Chicago Blackhawks,211,285,26,82,82
2005,Columbus Blue Jackets,223,279,35,82,82
2005,Calgary Flames,218,200,46,82,82
2005,Colorado Avalanche,283,257,43,82,82
2005,Edmonton Oilers,256,251,41,82,82
2005,Vancouver Canucks,256,269,42,82,82
2005,Minnesota Wild,231,215,38,82,82
2005,Anaheim Ducks,254,229,43,82,82
2005,Los Angeles Kings,249,270,42,82,82
2005,San Jose Sharks,266,242,44,82,82
2005,Phoenix Coyotes,246,271,38,82,82
2006,Detroit Red Wings,258,184,50,82,82
2006,Anaheim Ducks,258,208,48,82,82
2006,San Jose Sharks,258,199,51,82,82
2006,Nashville Predators,247,212,51,82,82
2006,Minnesota Wild,235,210,48,82,82
2006,Dallas Stars,247,216,50,82,82
2006,Colorado Avalanche,272,251,44,82,82
2006,Calgary Flames,236,220,43,82,82
2006,Vancouver Canucks,221,220,49,82,82
2006,Edmonton Oilers,218,228,32,82,82
2006,Chicago Blackhawks,201,258,31,82,82
2006,Columbus Blue Jackets,201,249,33,82,82
2006,St. Louis Blues,214,248,34,82,82
2006,Phoenix Coyotes,216,284,31,82,82
2006,Los Angeles Kings,227,283,27,82,82
2006,Buffalo Sabres,308,242,53,82,82
2006,New Jersey Devils,215,196,49,82,82
2006,Pittsburgh Penguins,267,245,47,82,82
2006,New York Rangers,242,216,42,82,82
2006,Tampa Bay Lightning,253,261,44,82,82
2006,Ottawa Senators,288,222,48,82,82
2006,Toronto Maple Leafs,258,269,40,82,82
2006,Montreal Canadiens,245,256,42,82,82
2006,Boston Bruins,219,289,35,82,82
2006,Atlanta Thrashers,246,245,43,82,82
