Rank,Team,MP,W,D,L,GF,GA,Pts,Ratio,Log_Ratio,Abs_Log_Ratio,Win_Pct
1,Arsenal,38,26,12,0,73,26,90,2.8076923076923075,1.032362903126909,1.032362903126909,0.6842105263157895
2,Chelsea,38,24,7,7,67,30,79,2.2333333333333334,0.8034952377288107,0.8034952377288107,0.631578947368421
3,Manchester Utd,38,23,6,9,64,35,75,1.8285714285714285,0.6035350218702581,0.6035350218702581,0.6052631578947368
4,Liverpool,38,16,12,10,55,37,60,1.4864864864864864,0.39641527258824644,0.39641527258824644,0.42105263157894735
5,Newcastle Utd,38,13,17,8,52,40,56,1.3,0.26236426446749106,0.26236426446749106,0.34210526315789475
6,Aston Villa,38,15,11,12,48,44,56,1.0909090909090908,0.08701137698962969,0.08701137698962969,0.39473684210526316
7,Charlton Ath,38,14,11,13,51,51,53,1.0,0.0,0.0,0.3684210526315789
8,Bolton,38,14,11,13,48,56,53,0.8571428571428571,-0.15415067982725836,0.15415067982725836,0.3684210526315789
9,Fulham,38,14,10,14,52,46,52,1.1304347826086956,0.12260232209233228,0.12260232209233228,0.3684210526315789
10,Birmingham City,38,12,14,12,43,48,50,0.8958333333333334,-0.11000089521432846,0.11000089521432846,0.3157894736842105
11,Middlesbrough,38,13,9,16,44,52,48,0.8461538461538461,-0.1670540846631662,0.1670540846631662,0.34210526315789475
12,Southampton,38,12,11,15,44,45,47,0.9777777777777777,-0.02247285585205863,0.02247285585205863,0.3157894736842105
13,Portsmouth,38,12,9,17,47,54,45,0.8703703703703703,-0.1388364448542158,0.1388364448542158,0.3157894736842105
14,Tottenham,38,13,6,19,47,57,45,0.8245614035087719,-0.19290366612449156,0.19290366612449156,0.34210526315789475
15,Blackburn,38,12,8,18,51,59,44,0.864406779661017,-0.14571181118139365,0.14571181118139365,0.3157894736842105
16,Manchester City,38,9,14,15,55,54,41,1.0185185185185186,0.018349138668196617,0.018349138668196617,0.23684210526315788
17,Everton,38,9,12,17,45,57,39,0.7894736842105263,-0.2363887780642304,0.2363887780642304,0.23684210526315788
18,Leicester City,38,6,15,17,48,65,33,0.7384615384615385,-0.30318625898774615,0.30318625898774615,0.15789473684210525
19,Leeds United,38,8,9,21,40,79,33,0.5063291139240507,-0.6805683983530851,0.6805683983530851,0.21052631578947367
20,Wolves,38,7,12,19,38,77,33,0.4935064935064935,-0.7062192621272981,0.7062192621272981,0.18421052631578946
