Rank,Team,MP,W,D,L,GF,GA,Pts,Ratio,Log_Ratio,Abs_Log_Ratio,Win_Pct
1,Lyon,38,24,9,5,64,27,81,2.3703703703703702,0.8630462173553427,0.8630462173553427,0.631578947368421
2,Marseille,38,19,7,12,53,38,64,1.394736842105263,0.332705753825736,0.332705753825736,0.5
3,Toulouse,38,17,7,14,44,43,58,1.0232558139534884,0.02298951822469878,0.02298951822469878,0.4473684210526316
4,Rennes,38,14,15,9,38,30,57,1.2666666666666666,0.23638877806423034,0.23638877806423034,0.3684210526315789
5,Lens,38,15,12,11,47,41,57,1.146341463414634,0.1365755350057507,0.1365755350057507,0.39473684210526316
6,Bordeaux,38,16,9,13,39,35,57,1.1142857142857143,0.10821358464023279,0.10821358464023279,0.42105263157894735
7,Sochaux,38,15,12,11,46,48,57,0.9583333333333334,-0.04255961441879589,0.04255961441879589,0.39473684210526316
8,Auxerre,38,13,15,10,41,41,54,1.0,0.0,0.0,0.34210526315789475
9,Monaco,38,13,12,13,45,38,51,1.1842105263157894,0.1690763300439339,0.1690763300439339,0.34210526315789475
10,Lille,38,13,11,14,45,43,50,1.0465116279069768,0.04546237407675741,0.04546237407675741,0.34210526315789475
11,Saint-Étienne,38,14,7,17,52,50,49,1.04,0.03922071315328133,0.03922071315328133,0.3684210526315789
12,Le Mans,38,11,16,11,45,46,49,0.9782608695652174,-0.02197890671877523,0.02197890671877523,0.2894736842105263
13,Nancy,38,13,10,15,37,44,49,0.8409090909090909,-0.17327172127403667,0.17327172127403667,0.34210526315789475
14,Lorient,38,12,13,13,33,40,49,0.825,-0.19237189264745613,0.19237189264745613,0.3157894736842105
15,Paris S-G,38,12,12,14,42,42,48,1.0,0.0,0.0,0.3157894736842105
16,Nice,38,9,16,13,34,40,43,0.85,-0.16251892949777494,0.16251892949777494,0.23684210526315788
17,Valenciennes,38,11,10,17,36,48,43,0.75,-0.2876820724517809,0.2876820724517809,0.2894736842105263
18,Troyes,38,9,12,17,39,54,39,0.7222222222222222,-0.325422400434628,0.325422400434628,0.23684210526315788
19,Sedan,38,7,14,17,46,58,35,0.7931034482758621,-0.2318016140573243,0.2318016140573243,0.18421052631578946
20,Nantes,38,7,13,18,29,49,34,0.5918367346938775,-0.5245244681241525,0.5245244681241525,0.18421052631578946
