Rank,Team,MP,W,D,L,GF,GA,Pts,Ratio,Log_Ratio,Abs_Log_Ratio,Win_Pct
1,Chelsea,38,27,5,6,103,32,86,3.21875,1.1689930854299093,1.1689930854299093,0.7105263157894737
2,Manchester Utd,38,27,4,7,86,28,85,3.0714285714285716,1.122142786078304,1.122142786078304,0.7105263157894737
3,Arsenal,38,23,6,9,83,41,75,2.024390243902439,0.7052685410922901,0.7052685410922901,0.6052631578947368
4,Tottenham,38,21,7,10,67,41,70,1.6341463414634145,0.4911205526866582,0.4911205526866582,0.5526315789473685
5,Manchester City,38,18,13,7,73,45,67,1.6222222222222222,0.4837969513780714,0.4837969513780714,0.47368421052631576
6,Aston Villa,38,17,13,8,52,39,64,1.3333333333333333,0.28768207245178085,0.28768207245178085,0.4473684210526316
7,Liverpool,38,18,9,11,61,35,63,1.7428571428571429,0.5555258026838976,0.5555258026838976,0.47368421052631576
8,Everton,38,16,13,9,60,49,61,1.2244897959183674,0.2025242641114741,0.2025242641114741,0.42105263157894735
9,Birmingham City,38,13,11,14,38,47,50,0.8085106382978723,-0.21256144198367288,0.21256144198367288,0.34210526315789475
10,Blackburn,38,13,11,14,41,55,50,0.7454545454545455,-0.29376111852816306,0.29376111852816306,0.34210526315789475
11,Stoke City,38,11,14,13,34,48,47,0.7083333333333334,-0.3448404862917295,0.3448404862917295,0.2894736842105263
12,Fulham,38,12,10,16,39,46,46,0.8478260869565217,-0.16507975035944858,0.16507975035944858,0.3157894736842105
13,Sunderland,38,11,11,16,48,56,44,0.8571428571428571,-0.15415067982725836,0.15415067982725836,0.2894736842105263
14,Bolton,38,10,9,19,42,67,39,0.6268656716417911,-0.4670230011075977,0.4670230011075977,0.2631578947368421
15,Wolves,38,10,8,20,32,56,38,0.5714285714285714,-0.5596157879354228,0.5596157879354228,0.2631578947368421
16,Wigan Athletic,38,9,9,20,37,79,36,0.46835443037974683,-0.758529939822797,0.758529939822797,0.23684210526315788
17,West Ham,38,8,11,19,47,66,35,0.7121212121212122,-0.3395071403163669,0.3395071403163669,0.21052631578947367
18,Burnley,38,8,6,24,42,82,30,0.5121951219512195,-0.6690496289808848,0.6690496289808848,0.21052631578947367
19,Hull City,38,6,12,20,34,75,30,0.4533333333333333,-0.7911275889201491,0.7911275889201491,0.15789473684210525
20,Portsmouth,38,7,7,24,34,66,19,0.5151515151515151,-0.6632942174102642,0.6632942174102642,0.18421052631578946
