Rank,Team,P,W,D,L,For,Agn,Pts,Ratio,Log_Ratio,Abs_Log_Ratio,Win_Pct
1,Hawthorn,22,17,0,5,2679,1733,68,1.545874206578188,0.43558957982900265,0.43558957982900265,0.7727272727272727
2,Adelaide,22,17,0,5,2428,1833,68,1.3246044735406437,0.2811139043396838,0.2811139043396838,0.7727272727272727
3,Sydney,22,16,0,6,2290,1629,64,1.4057704112952731,0.34058548794624016,0.34058548794624016,0.7272727272727273
4,Collingwood,22,16,0,6,2123,1823,64,1.1645639056500274,0.15234668702459306,0.15234668702459306,0.7272727272727273
5,West Coast,22,15,0,7,2244,1807,60,1.2418372993912563,0.21659197605035851,0.21659197605035851,0.6818181818181818
6,Geelong,22,15,0,7,2209,1886,60,1.1712619300106044,0.15808174022671434,0.15808174022671434,0.6818181818181818
7,Fremantle,22,14,0,8,1956,1691,56,1.1567120047309285,0.1455815016961824,0.1455815016961824,0.6363636363636364
8,North Melbourne,22,14,0,8,2359,2097,56,1.1249403910348117,0.11773004850575514,0.11773004850575514,0.6363636363636364
9,St Kilda,22,12,0,10,2347,1903,48,1.233315817130846,0.20970632855487403,0.20970632855487403,0.5454545454545454
10,Carlton,22,11,0,11,2079,1925,44,1.08,0.0769610411361284,0.0769610411361284,0.5
11,Essendon,22,11,0,11,2091,2090,44,1.0004784688995216,0.0004783544697769898,0.0004783544697769898,0.5
12,Richmond,22,10,1,11,2169,1943,42,1.1163149768399383,0.11003306144943434,0.11003306144943434,0.45454545454545453
13,Brisbane Lions,22,10,0,12,1904,2092,40,0.9101338432122371,-0.09416360983350287,0.09416360983350287,0.45454545454545453
14,Port Adelaide,22,5,1,16,1691,2144,22,0.7887126865671642,-0.23735317329211228,0.23735317329211228,0.22727272727272727
15,Western Bulldogs,22,5,0,17,1542,2301,20,0.6701434159061278,-0.400263535912091,0.400263535912091,0.22727272727272727
16,Melbourne,22,4,0,18,1580,2341,16,0.6749252456215292,-0.39315334146989833,0.39315334146989833,0.18181818181818182
17,Gold Coast,22,3,0,19,1509,2481,12,0.6082224909310762,-0.49721452492395213,0.49721452492395213,0.13636363636363635
18,GWS Giants,22,2,0,20,1270,2751,8,0.46165030897855325,-0.7729475814719377,0.7729475814719377,0.09090909090909091
