Rank,Team,MP,W,D,L,GF,GA,Pts,Ratio,Log_Ratio,Abs_Log_Ratio,Win_Pct
1,Leicester City,38,23,12,3,68,36,81,1.8888888888888888,0.6359887667199967,0.6359887667199967,0.6052631578947368
2,Arsenal,38,20,11,7,65,36,71,1.8055555555555556,0.5908683314395271,0.5908683314395271,0.5263157894736842
3,Tottenham,38,19,13,6,69,35,70,1.9714285714285715,0.6787584431078457,0.6787584431078457,0.5
4,Manchester City,38,19,9,10,71,41,66,1.7317073170731707,0.5491078103370076,0.5491078103370076,0.5
5,Manchester Utd,38,19,9,10,49,35,66,1.4,0.3364722366212129,0.3364722366212129,0.5
6,Southampton,38,18,9,11,59,41,63,1.4390243902439024,0.3639653772014116,0.3639653772014116,0.47368421052631576
7,West Ham,38,16,14,8,65,51,62,1.2745098039215685,0.24256163717131127,0.24256163717131127,0.42105263157894735
8,Liverpool,38,16,12,10,63,50,60,1.26,0.23111172096338664,0.23111172096338664,0.42105263157894735
9,Stoke City,38,14,9,15,41,55,51,0.7454545454545455,-0.29376111852816306,0.29376111852816306,0.3684210526315789
10,Chelsea,38,12,14,12,59,53,50,1.1132075471698113,0.10724553035359759,0.10724553035359759,0.3157894736842105
11,Everton,38,11,14,13,59,55,47,1.0727272727272728,0.07020425867324856,0.07020425867324856,0.2894736842105263
12,Swansea City,38,12,11,15,42,52,47,0.8076923076923077,-0.21357410029805904,0.21357410029805904,0.3157894736842105
13,Watford,38,12,9,17,40,50,45,0.8,-0.2231435513142097,0.2231435513142097,0.3157894736842105
14,West Brom,38,10,13,15,34,48,43,0.7083333333333334,-0.3448404862917295,0.3448404862917295,0.2631578947368421
15,Crystal Palace,38,11,9,18,39,51,42,0.7647058823529411,-0.2682639865946794,0.2682639865946794,0.2894736842105263
16,Bournemouth,38,11,9,18,45,67,42,0.6716417910447762,-0.3980301296206462,0.3980301296206462,0.2894736842105263
17,Sunderland,38,9,12,17,48,62,39,0.7741935483870968,-0.25593337413720063,0.25593337413720063,0.23684210526315788
18,Newcastle Utd,38,9,10,19,44,65,37,0.676923076923077,-0.3901976359773759,0.3901976359773759,0.23684210526315788
19,Norwich City,38,9,7,22,39,67,34,0.582089552238806,-0.5411309732613196,0.5411309732613196,0.23684210526315788
20,Aston Villa,38,3,8,27,27,76,17,0.35526315789473684,-1.034896474282002,1.034896474282002,0.07894736842105263
