Rank,Team,MP,W,D,L,GF,GA,Pts,Ratio,Log_Ratio,Abs_Log_Ratio,Win_Pct
1,Manchester City,38,32,4,2,106,27,100,3.925925925925926,1.367602228107738,1.367602228107738,0.8421052631578947
2,Manchester Utd,38,25,6,7,68,28,81,2.4285714285714284,0.8873031950009027,0.8873031950009027,0.6578947368421053
3,Tottenham,38,23,8,7,74,36,77,2.0555555555555554,0.7205461547480596,0.7205461547480596,0.6052631578947368
4,Liverpool,38,21,12,5,84,38,75,2.210526315789474,0.7932306391169279,0.7932306391169279,0.5526315789473685
5,Chelsea,38,21,7,10,62,38,70,1.631578947368421,0.4895482253187058,0.4895482253187058,0.5526315789473685
6,Arsenal,38,19,6,13,74,51,63,1.4509803921568627,0.37223946047984396,0.37223946047984396,0.5
7,Burnley,38,14,12,12,36,39,54,0.9230769230769231,-0.08004270767353637,0.08004270767353637,0.3684210526315789
8,Everton,38,13,10,15,44,58,49,0.7586206896551724,-0.27625337662815824,0.27625337662815824,0.34210526315789475
9,Leicester City,38,12,11,15,56,60,47,0.9333333333333333,-0.06899287148695143,0.06899287148695143,0.3157894736842105
10,Newcastle Utd,38,12,8,18,39,47,44,0.8297872340425532,-0.1865859555804122,0.1865859555804122,0.3157894736842105
11,Crystal Palace,38,11,11,16,45,55,44,0.8181818181818182,-0.2006706954621511,0.2006706954621511,0.2894736842105263
12,Bournemouth,38,11,11,16,45,61,44,0.7377049180327869,-0.30421137440299145,0.30421137440299145,0.2894736842105263
13,West Ham,38,10,12,16,48,68,42,0.7058823529411765,-0.3483066942682157,0.3483066942682157,0.2631578947368421
14,Watford,38,11,8,19,44,64,41,0.6875,-0.3746934494414107,0.3746934494414107,0.2894736842105263
15,Brighton,38,9,13,16,34,54,40,0.6296296296296297,-0.46262352194811296,0.46262352194811296,0.23684210526315788
16,Huddersfield,38,9,10,19,28,58,37,0.4827586206896552,-0.7282385003712154,0.7282385003712154,0.23684210526315788
17,Southampton,38,7,15,16,37,56,36,0.6607142857142857,-0.4144337780909248,0.4144337780909248,0.18421052631578946
18,Swansea City,38,8,9,21,28,56,33,0.5,-0.6931471805599453,0.6931471805599453,0.21052631578947367
19,Stoke City,38,7,12,19,35,68,33,0.5147058823529411,-0.6641596436866931,0.6641596436866931,0.18421052631578946
20,West Brom,38,6,13,19,31,56,31,0.5535714285714286,-0.5913644862500029,0.5913644862500029,0.15789473684210525
