Team,GP,W,D,L,For,Agn,GD,Pts,PPG,Year
Auckland FC,26,15,8,3,49,27,22,53,2.04,2025
Melbourne City,26,14,6,6,41,25,16,48,1.85,2025
Western United,26,14,5,7,55,37,18,47,1.81,2025
Western Sydney Wanderers,26,13,7,6,58,40,18,46,1.77,2025
Melbourne Victory,26,12,7,7,44,36,8,43,1.65,2025
Adelaide United,26,10,8,8,53,55,-2,38,1.46,2025
Sydney FC,26,10,7,9,53,46,7,37,1.42,2025
Macarthur FC,26,9,6,11,50,45,5,33,1.27,2025
Newcastle Jets,26,8,6,12,43,44,-1,30,1.15,2025
Central Coast Mariners,26,5,11,10,29,51,-22,26,1,2025
Wellington Phoenix,26,6,6,14,27,43,-16,24,0.92,2025
Brisbane Roar,26,5,6,15,32,51,-19,21,0.81,2025
Perth Glory,26,4,5,17,22,56,-34,17,0.65,2025
Central Coast Mariners,27,17,4,6,49,27,22,55,2.04,2024
Wellington Phoenix,27,15,8,4,42,26,16,53,1.96,2024
Melbourne Victory,27,10,12,5,43,33,10,42,1.56,2024
Sydney FC,27,12,5,10,52,41,11,41,1.52,2024
Macarthur FC,27,11,8,8,45,48,-3,41,1.52,2024
Melbourne City,27,11,6,10,50,38,12,39,1.44,2024
Western Sydney Wanderers,27,11,4,12,44,48,-4,37,1.37,2024
Adelaide United,27,9,5,13,52,53,-1,32,1.19,2024
Brisbane Roar,27,8,6,13,42,55,-13,30,1.11,2024
Newcastle Jets,27,6,10,11,39,47,-8,28,1.04,2024
Western United,27,7,5,15,36,55,-19,26,0.96,2024
Perth Glory,27,5,7,15,46,69,-23,22,0.81,2024
Melbourne City,26,16,7,3,61,32,29,55,2.12,2023
Central Coast Mariners,26,13,5,8,55,35,20,44,1.69,2023
Adelaide United,26,11,9,6,53,46,7,42,1.62,2023
Western Sydney Wanderers,26,11,8,7,43,27,16,41,1.58,2023
Sydney FC,26,11,5,10,40,39,1,38,1.46,2023
Wellington Phoenix,26,9,8,9,39,45,-6,35,1.35,2023
Western United,26,9,5,12,34,47,-13,32,1.23,2023
Brisbane Roar,26,7,9,10,26,33,-7,30,1.15,2023
Perth Glory,26,7,8,11,36,46,-10,29,1.12,2023
Newcastle Jets,26,8,5,13,30,45,-15,29,1.12,2023
Melbourne Victory,26,8,4,14,29,34,-5,28,1.08,2023
Macarthur FC,26,7,5,14,31,48,-17,26,1,2023
Melbourne City,26,14,7,5,55,33,22,49,1.88,2022
Melbourne Victory,26,13,9,4,42,25,17,48,1.85,2022
Western United,26,13,6,7,40,30,10,45,1.73,2022
Adelaide United,26,12,7,7,38,31,7,43,1.65,2022
Central Coast Mariners,26,12,6,8,49,35,14,42,1.62,2022
Wellington Phoenix,26,12,3,11,34,49,-15,39,1.5,2022
Macarthur FC,26,9,6,11,38,47,-9,33,1.27,2022
Sydney FC,26,8,7,11,37,44,-7,31,1.19,2022
Newcastle Jets,26,8,5,13,45,43,2,29,1.12,2022
Western Sydney Wanderers,26,6,9,11,30,38,-8,27,1.04,2022
Brisbane Roar,26,7,5,14,29,39,-10,26,1,2022
Perth Glory,26,4,6,16,20,43,-23,18,0.69,2022
Melbourne City,26,15,4,7,57,32,25,49,1.88,2021
Sydney FC,26,13,8,5,39,23,16,47,1.81,2021
Central Coast Mariners,26,12,6,8,35,31,4,42,1.62,2021
Brisbane Roar,26,11,7,8,36,28,8,40,1.54,2021
Adelaide United,26,11,6,9,39,41,-2,39,1.5,2021
Macarthur FC,26,11,6,9,33,36,-3,39,1.5,2021
Wellington Phoenix,26,10,8,8,44,34,10,38,1.46,2021
Western Sydney Wanderers,26,9,8,9,45,43,2,35,1.35,2021
Perth Glory,26,9,7,10,44,44,0,34,1.31,2021
Western United,26,8,4,14,30,47,-17,28,1.08,2021
Newcastle Jets,26,5,6,15,24,38,-14,21,0.81,2021
Melbourne Victory,26,5,4,17,31,60,-29,19,0.73,2021
Sydney FC,26,16,5,5,49,25,24,53,2.04,2020
