2025 Ladder [Recent Form],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,MR
1,Adelaide,2025,23,18,,5,11-0-1,7-0-4,339.244 (58%),2278,234.231 (50%),1635,139.3,72,1 (78.26)
2,Geelong,2025,23,17,,6,9-0-2,8-0-4,356.289 (55%),2425,249.220 (53%),1714,141.5,68,2 (73.91)
3,Brisbane Lions,2025,23,16,1,6,7-0-4,2002-09-01 00:00:00,297.279 (52%),2061,263.226 (54%),1804,114.2,66,3 (71.74)
4,Collingwood,2025,23,16,,7,9-0-3,7-0-4,286.275 (51%),1991,236.211 (53%),1627,122.4,64,4 (69.57)
5,Greater Western Sydney,2025,23,16,,7,8-0-3,8-0-4,312.242 (56%),2114,259.280 (48%),1834,115.3,64,5 (69.57)
6,Fremantle,2025,23,16,,7,8-0-3,8-0-4,288.250 (54%),1978,265.225 (54%),1815,109,64,6 (69.57)
7,Gold Coast,2025,23,15,,8,9-0-2,6-0-6,317.271 (54%),2173,252.228 (53%),1740,124.9,60,7 (65.22)
8,Hawthorn,2025,23,15,,8,10-0-1,5-0-7,300.245 (55%),2045,240.251 (49%),1691,120.9,60,8 (65.22)
9,Western Bulldogs,2025,23,14,,9,7-0-5,7-0-4,369.279 (57%),2493,265.230 (54%),1820,137,56,9 (60.87)
10,Sydney,2025,23,12,,11,5-0-6,7-0-5,264.261 (50%),1845,276.246 (53%),1902,97,48,10 (52.17)
11,Carlton,2025,23,9,,14,5-0-7,4-0-7,259.245 (51%),1799,274.217 (56%),1861,96.7,36,11 (39.13)
12,St Kilda,2025,23,9,,14,5-0-7,4-0-7,268.231 (54%),1839,301.271 (53%),2077,88.5,36,12 (39.13)
13,Port Adelaide,2025,23,9,,14,7-0-5,2-0-9,244.241 (50%),1705,310.276 (53%),2136,79.8,36,13 (39.13)
14,Melbourne,2025,23,7,,16,5-0-7,2-0-9,271.276 (50%),1902,300.238 (56%),2038,93.3,28,14 (30.43)
15,Essendon,2025,23,6,,17,4-0-7,2-0-10,220.215 (51%),1535,324.265 (55%),2209,69.5,24,15 (26.09)
16,North Melbourne,2025,23,5,1,17,2008-03-01 00:00:00,2-0-9,267.203 (57%),1805,347.283 (55%),2365,76.3,22,16 (23.91)
17,Richmond,2025,23,5,,18,4-0-8,1-0-10,204.225 (48%),1449,318.289 (52%),2197,66,20,17 (21.74)
18,West Coast,2025,23,1,,22,1-0-10,0-0-12,209.212 (50%),1466,357.296 (55%),2438,60.1,4,18 (4.35)
2024 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,MR
1,Sydney,2024,23,17,,6,9-0-2,8-0-4,328.274 (54%),2242,252.257 (50%),1769,126.7,68,1 (73.91)
